Protein,10B_23 Protein Abundance,10NB_13 Protein Abundance,13B_07 Protein Abundance,13NB_22 Protein Abundance,21B_17 Protein Abundance,21NB_09 Protein Abundance,26B_21 Protein Abundance,26NB_15 Protein Abundance,66B_14 Protein Abundance,66NB_16 Protein Abundance,74B_08 Protein Abundance,74NB_20 Protein Abundance
lcl|c129724_g1_i1|m.160,1.1740E+6,4.4822E+6,4.7137E+6,5.4227E+6,6.5941E+6,6.8403E+6,1.0339E+6,7.4598E+5,1.0699E+6,7.3611E+6,3.5704E+6,7.1077E+6
lcl|c145576_g1_i1|m.265,3.4592E+5,5.4637E+5,2.3085E+5,2.5565E+5,1.4769E+5,3.2536E+5,2.2636E+5,5.3125E+5,1.5970E+5,3.2671E+5,5.1355E+5,9.0245E+5
lcl|c160676_g1_i1|m.404,3.6231E+6,7.4564E+6,8.5309E+6,1.2048E+7,1.5154E+7,1.2752E+7,1.9281E+6,3.1936E+6,2.1618E+6,1.4156E+7,9.2461E+6,1.6630E+7
lcl|c161959_g2_i1|m.413,1.0466E+7,5.4672E+6,7.8405E+6,9.3449E+6,9.4243E+6,1.2789E+7,1.0916E+7,1.2140E+7,1.6127E+7,1.5801E+7,1.6602E+7,1.4459E+7
lcl|c163027_g1_i3|m.422,1.1668E+7,9.2812E+6,9.4239E+6,1.0067E+7,8.7525E+6,1.2723E+7,8.5828E+6,1.7502E+7,1.2177E+7,1.9280E+7,1.3969E+7,1.3688E+7
lcl|c167034_g1_i1|m.471,1.2314E+6,5.6183E+6,6.1476E+6,5.0298E+6,7.3590E+6,7.5285E+6,8.0330E+5,3.6675E+5,1.3307E+6,7.7285E+6,4.2032E+6,8.1168E+6
lcl|c169761_g1_i1|m.505,7.2669E+5,1.0364E+6,2.8279E+6,3.4421E+6,5.1377E+5,3.9875E+5,3.7484E+5,6.2542E+5,4.6062E+5,1.3192E+6,6.7701E+5,5.9070E+5
lcl|c169842_g1_i1|m.507,1.2197E+7,3.0367E+7,2.3470E+7,3.3086E+7,3.2392E+7,3.9018E+7,8.4232E+6,1.2996E+7,9.5969E+6,4.4109E+7,2.7851E+7,5.1894E+7
lcl|c175112_g1_i1|m.556,5.1759E+5,3.6181E+5,2.5805E+5,4.4537E+5,4.4671E+5,5.9436E+5,1.1112E+6,1.6413E+6,1.2116E+6,1.4013E+6,5.2426E+5,7.1781E+5
lcl|c179980_g2_i2|m.640,9.6136E+5,3.8240E+6,2.5219E+6,3.2717E+6,4.4863E+6,4.8394E+6,7.1686E+5,9.1908E+5,9.2910E+5,4.8413E+6,2.5386E+6,4.8925E+6
lcl|c184118_g1_i1|m.691,2.4687E+8,1.1129E+9,1.0127E+9,1.1783E+9,1.4030E+9,1.4660E+9,1.6711E+8,1.7589E+8,2.4769E+8,1.3633E+9,8.1799E+8,1.3316E+9
lcl|c188047_g2_i2|m.760,1.3218E+6,2.1486E+6,1.5151E+6,1.9739E+6,1.3844E+6,2.0019E+6,7.9790E+5,1.6844E+6,1.3584E+6,3.0750E+6,2.0826E+6,3.0771E+6
lcl|c195747_g2_i1|m.945,2.3395E+7,4.8980E+7,3.3021E+7,4.2178E+7,6.6888E+7,7.2886E+7,1.0038E+7,1.7791E+7,1.8009E+7,8.7420E+7,5.4869E+7,8.6980E+7
lcl|c199545_g1_i1|m.1080,2.4493E+6,7.3825E+6,6.7908E+6,8.5954E+6,1.1027E+7,1.1555E+7,1.4673E+6,1.9818E+6,2.0767E+6,9.6615E+6,6.2862E+6,1.1621E+7
lcl|c200741_g1_i1|m.1151,8.9848E+5,1.5668E+6,1.3552E+6,1.1913E+6,3.7530E+5,1.2812E+6,4.7168E+5,8.6112E+5,6.6815E+5,1.1557E+6,2.8285E+5,1.3076E+5
