"","PROTID","X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT","X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT","X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT","X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT","X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT","X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT","X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT","X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT","X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT","X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT","X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT","X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT"
"1","RZO77719.1",1,3,4,3,4,4,1,2,2,3,3,2
"2","WP_089370772.1",2,2,1,1,1,1,2,1,1,2,1,2
"3","lcl|c232660_g2_i7|m.17650",1,1,2,3,1,1,2,1,2,2,1,2
"4","lcl|c232843_g1_i4|m.17830",11,14,13,13,14,10,13,15,11,17,12,14
"5","lcl|c232847_g2_i2|m.17831",5,6,4,3,3,4,3,4,3,5,3,5
"6","lcl|c226607_g5_i2|m.11621",4,5,4,4,4,3,2,5,3,6,4,4
"7","lcl|c232854_g3_i11|m.17840",3,3,3,2,1,3,3,4,5,2,4,3
"8","lcl|c232855_g5_i1|m.17841",2,1,1,1,1,1,2,2,2,1,2,1
"9","lcl|c232899_g1_i2|m.17887",5,6,3,4,4,3,5,3,3,6,3,4
"10","lcl|c232931_g1_i10|m.17922",3,2,2,2,2,2,1,2,3,2,2,2
"11","lcl|c232983_g2_i2|m.17991",3,2,2,2,2,3,2,1,3,2,2,3
"12","lcl|c233012_g3_i3|m.18031",12,14,12,11,6,10,8,12,9,12,11,13
"13","lcl|c233024_g1_i6|m.18051",7,5,11,8,9,9,6,6,8,9,9,9
"14","lcl|c233030_g2_i3|m.18059",3,4,3,6,5,6,5,5,6,6,8,5
"15","lcl|c215819_g3_i2|m.4218",1,1,2,2,0,0,1,0,3,2,2,2
"16","lcl|c233068_g2_i3|m.18101",26,32,26,25,28,34,26,39,39,47,42,41
"17","lcl|c233068_g2_i1|m.18098",26,31,25,22,23,30,23,33,37,41,38,34
"18","lcl|c233068_g3_i4|m.18107",4,2,4,4,0,1,4,6,1,2,7,5
"19","lcl|c233095_g1_i10|m.18140",1,1,0,2,2,0,1,2,0,2,1,2
"20","lcl|c233142_g2_i1|m.18198",3,7,2,2,3,3,2,2,3,2,5,6
"21","lcl|c233235_g3_i2|m.18302",2,2,2,2,3,2,2,2,2,2,2,2
"22","lcl|c233287_g2_i1|m.18368",13,9,9,11,11,13,5,6,9,13,13,10
"23","lcl|c233306_g1_i2|m.18390",11,14,10,12,15,11,10,14,14,15,15,11
"24","lcl|c233334_g2_i12|m.18425",2,1,0,0,0,0,0,0,0,0,0,0
