Protein,10B_32 Protein Abundance,10NB_47 Protein Abundance,13B_46 Protein Abundance,13NB_33 Protein Abundance,21B_43 Protein Abundance,21NB_30 Protein Abundance,26B_28 Protein Abundance,26NB_45 Protein Abundance,66B_44 Protein Abundance,66NB_29 Protein Abundance,74B_31 Protein Abundance,74NB_48 Protein Abundance
lcl|c108423_g2_i1|m.37,3.1300E+5,1.0412E+6,7.6036E+5,1.1097E+6,1.4293E+6,1.2840E+6,2.0414E+5,2.5113E+5,3.1556E+5,1.1744E+6,7.5100E+5,1.9533E+6
lcl|c129724_g1_i1|m.160,5.9597E+5,2.3967E+6,2.1709E+6,2.6266E+6,3.2386E+6,3.0901E+6,3.8942E+5,5.5576E+5,7.3496E+5,3.4916E+6,1.6632E+6,3.7122E+6
lcl|c145576_g1_i1|m.265,1.2543E+6,1.2957E+6,2.8213E+5,7.0246E+5,4.1496E+5,5.4482E+5,7.0086E+5,1.7768E+6,1.2405E+6,1.4424E+6,1.3160E+6,2.0798E+6
lcl|c160676_g1_i1|m.404,1.5487E+6,4.3578E+6,3.6825E+6,4.4574E+6,5.7588E+6,5.3261E+6,7.1587E+5,1.7475E+6,1.4060E+6,6.3463E+6,3.7662E+6,8.2631E+6
lcl|c161959_g2_i1|m.413,4.5662E+6,2.8673E+6,3.7162E+6,4.3772E+6,3.6320E+6,4.3204E+6,4.7660E+6,6.0415E+6,7.9736E+6,6.1267E+6,5.9886E+6,7.6340E+6
lcl|c163027_g1_i3|m.422,3.6207E+6,3.5333E+6,3.0599E+6,2.9491E+6,2.2177E+6,3.2627E+6,2.7045E+6,6.7036E+6,3.9712E+6,5.1279E+6,3.9760E+6,4.8624E+6
lcl|c164490_g1_i1|m.440,1.9238E+6,2.5267E+6,2.6166E+6,1.8534E+6,1.6099E+6,2.1540E+6,1.7578E+6,3.4927E+6,2.2717E+6,2.6002E+6,3.1004E+6,3.3601E+6
lcl|c167034_g1_i1|m.471,9.8151E+5,3.8333E+6,2.7525E+6,4.0854E+6,3.9845E+6,4.1093E+6,2.9814E+6,5.9010E+6,4.0148E+6,3.0932E+6,5.3252E+6,5.6795E+6
lcl|c169761_g1_i1|m.505,5.0045E+5,4.9630E+5,1.0788E+6,1.4092E+6,6.3066E+5,5.9347E+5,3.4078E+5,7.6291E+5,6.9778E+5,6.5216E+5,7.3954E+5,3.3700E+5
lcl|c169842_g1_i1|m.507,3.7741E+6,1.2201E+7,7.6615E+6,1.1194E+7,1.0751E+7,1.2012E+7,2.4933E+6,5.5158E+6,4.2784E+6,1.3015E+7,8.9026E+6,1.9786E+7
lcl|c179980_g2_i2|m.640,4.0306E+5,1.5092E+6,9.6447E+5,1.2033E+6,1.6050E+6,1.5045E+6,2.1276E+5,4.5824E+5,4.9121E+5,1.4950E+6,8.1899E+5,2.0295E+6
lcl|c184118_g1_i1|m.691,5.9345E+7,2.7479E+8,2.3428E+8,2.4148E+8,2.9509E+8,2.6584E+8,4.5832E+7,5.5047E+7,7.2655E+7,2.8568E+8,1.7747E+8,3.8123E+8
lcl|c188047_g2_i2|m.760,1.3792E+6,1.9777E+6,1.2845E+6,1.8124E+6,1.1913E+6,1.6038E+6,7.9051E+5,2.0103E+6,1.3995E+6,2.2313E+6,1.4901E+6,2.7392E+6
lcl|c195747_g2_i1|m.945,1.2053E+7,1.6053E+7,9.7168E+6,1.4985E+7,1.3288E+7,1.6718E+7,7.4120E+6,1.4541E+7,1.0015E+7,2.0332E+7,1.5394E+7,2.6328E+7
lcl|c199545_g1_i1|m.1080,1.5869E+6,3.8269E+6,3.4544E+6,4.0732E+6,4.9290E+6,4.4936E+6,1.0666E+6,1.6191E+6,1.3712E+6,4.2098E+6,3.1240E+6,6.3171E+6
