file name,Bleaching,Genet10,Genet13,Genet21,Genet26,Genet66,Genet74,Day1,Day2,Day3,Day4,Day5,Day6,Day7
X10B_32,0,1,0,0,0,0,0,0,0,0,0,1,0,0
X10NB_47,1,1,0,0,0,0,0,1,0,0,0,0,0,0
X13B_46,0,0,1,0,0,0,0,0,1,0,0,0,0,0
X13NB_33,1,0,1,0,0,0,0,0,1,0,0,0,0,0
X21B_43,0,0,0,1,0,0,0,0,0,0,0,0,1,0
X21NB_30,1,0,0,1,0,0,0,0,0,0,0,1,0,0
X26B_28,0,0,0,0,1,0,0,0,0,0,0,1,0,0
X26NB_45,1,0,0,0,1,0,0,1,0,0,0,0,0,0
X66B_44,0,0,0,0,0,1,0,0,0,0,0,0,0,1
X66NB_29,1,0,0,0,0,1,0,0,0,0,1,0,0,0
X74B_31,0,0,0,0,0,0,1,0,0,0,0,0,1,0
X74NB_48,1,0,0,0,0,0,1,0,0,1,0,0,0,0
