Proteins,moduleColor,p.MM.turquoise,p.MM.blue,p.MM.grey
lcl|c236909_g3_i2|m.22685,blue,0.111036733,0.019204857,0.250395504
tr|A0A1Q9E2U7|A0A1Q9E2U7_SYMMI,blue,0.034534393,0.000860487,0.977140934
lcl|c212809_g1_i1|m.2850,blue,0.011722345,0.000781187,0.279045811
lcl|c224226_g3_i4|m.9666,blue,0.03630972,4.14E-06,0.508270348
lcl|c222585_g8_i4|m.8453,blue,0.077324474,0.006343567,0.958711053
lcl|c217182_g4_i2|m.5020,blue,0.072350259,6.31E-05,0.189233461
lcl|c98777_g1_i1|m.32741,blue,0.526520847,0.019168515,0.018615111
lcl|c239145_g1_i2|m.25349,blue,0.081018989,5.38E-05,0.320857003
tr|A0A1Q9CAD5|A0A1Q9CAD5_SYMMI,blue,0.020679737,8.30E-06,0.363208434
lcl|c210442_g1_i1|m.2181,blue,0.086370476,3.60E-05,0.559764513
lcl|c230297_g1_i1|m.15137,blue,0.089349235,9.43E-05,0.537637651
lcl|c228113_g1_i1|m.13052,blue,0.035855115,8.77E-05,0.853572085
lcl|c195747_g2_i1|m.945,blue,0.007592565,0.00032975,0.914821585
lcl|c231744_g6_i2|m.16589,blue,0.046176387,0.002037378,0.210423454
WP_115937307.1,blue,0.02036724,5.24E-05,0.619791532
lcl|c221999_g1_i4|m.8036,blue,0.123654274,0.000458739,0.520995624
lcl|c236523_g2_i4|m.22204,blue,0.083739764,7.54E-07,0.419743597
WP_105734305.1,blue,0.00250499,0.002884344,0.957037869
lcl|c207960_g1_i1|m.1712,blue,0.032174712,1.80E-06,0.502741941
lcl|c238572_g3_i3|m.24677,blue,0.029008665,3.38E-06,0.493859324
WP_057462966.1,blue,0.040785261,4.39E-06,0.367416328
lcl|c222436_g10_i1|m.8337,blue,0.012734763,0.001079599,0.781493991
lcl|c225858_g7_i1|m.10995,blue,0.020421426,0.060602061,0.85067154
lcl|c222197_g1_i5|m.8163,blue,0.01171613,0.000614911,0.513045387
lcl|c235441_g4_i6|m.20931,blue,0.187082412,0.001314007,0.063793731
lcl|c214397_g6_i2|m.3475,blue,0.073409434,8.03E-07,0.781208684
lcl|c229658_g3_i1|m.14486,blue,0.231487869,1.20E-05,0.31950946
lcl|c228945_g3_i1|m.13808,blue,0.00668866,0.000325852,0.926002565
lcl|c244084_g2_i1|m.31724,blue,0.044995332,0.007771177,0.253833067
WP_035248901.1,blue,0.067367327,1.12E-06,0.405241897
lcl|c237098_g1_i2|m.22911,blue,0.130561806,2.65E-07,0.412872725
WP_013068671.1,blue,0.020046028,0.019568458,0.356435735
lcl|c231931_g2_i1|m.16792,blue,0.049380599,8.39E-07,0.570271348
lcl|c241114_g1_i2|m.28195,blue,0.10337545,5.02E-08,0.612897599
lcl|c217182_g4_i3|m.5021,blue,0.066673536,0.005040291,0.385190343
