Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c201141_g1_i1|m.1178,-3.702,-15.2,3-hydroxybutyryl-CoA dehydratase,cleaves C-O bonds
lcl|c224029_g4_i1|m.9563,2.247,9.0895,Alpha-adducin,cytoskeleton
lcl|c242885_g1_i1|m.30332,-3.107,-9.7823,Cilia- and flagella-associated protein 57-like,cilium
lcl|c232986_g1_i4|m.17993,-3.686,-12.2003,"dynein beta chain, ciliary-like",cilia cytoskeleton
lcl|c227069_g2_i12|m.12102,1.836,11.4002,Extended synaptogamin-2-A-like,ER membrane
lcl|c229781_g4_i1|m.14624,-3.55,-11.6746,Ferritin,iron storage
lcl|c236909_g3_i2|m.22685,2.934,19.2511,Histone H2A,chromatin structure
lcl|c229939_g1_i1|m.14795,2.476,31.4875,"Histone H2B, gonadal-like",chromatin condensation
lcl|c225829_g1_i1|m.10978,2.106,13.4199,Histone H3,chromatin structure
lcl|c221925_g1_i3|m.7988,1.771,10.5488,Lamin-B1,chromatin structure
lcl|c229705_g1_i1|m.14556,-3.188,-11.0865,Outer dense fiber protein 3-like,cytoskeleton
lcl|c243086_g4_i2|m.30593,1.86,10.4092,Peroxiredoxin-5,antioxidant
lcl|c233552_g1_i1|m.18704,-3.237,-21.8678,Protein DD3-3,"post-translational modification, O-glycosylation"
lcl|c242193_g2_i1|m.29501,2.527,7.9393,Protein-glutamine gamma-glutamyltransferase K,protein cross-linking
lcl|c241874_g1_i1|m.29042,1.742,13.6287,"Spectrin alpha chain, non-erythrocytic",cytoskeleton
lcl|c223611_g2_i2|m.9249,-3.29,-11.1398,Tektin,cilia & flagella cytoskeleton
lcl|c225115_g3_i4|m.10375,-3.898,-13.4036,Tektin,cilia & flagella cytoskeleton
lcl|c160676_g1_i1|m.404,-2.801,-9.5572,NA,NA
lcl|c163027_g1_i3|m.422,-2.819,-10.4933,NA,NA
lcl|c164490_g1_i1|m.440,1.092,5.001,NA,NA
lcl|c184118_g1_i1|m.691,1.562,12.1398,NA,NA
lcl|c188047_g2_i2|m.760,-2.519,-9.521,NA,NA
lcl|c195747_g2_i1|m.945,0.561,8.0507,NA,NA
lcl|c199545_g1_i1|m.1080,-1.902,-7.7562,NA,NA
lcl|c201155_g1_i1|m.1182,-0.964,-5.2416,NA,NA
lcl|c201413_g4_i1|m.1201,-0.733,-2.7054,NA,NA
lcl|c201696_g3_i1|m.1219,-0.921,-4.9973,NA,NA
lcl|c202129_g1_i1|m.1242,1.407,4.9364,NA,NA
lcl|c202472_g1_i1|m.1259,1.444,16.7778,NA,NA
lcl|c204986_g3_i2|m.1414,-0.534,-2.3881,NA,NA
lcl|c205012_g1_i1|m.1420,-1.794,-5.1464,NA,NA
lcl|c205417_g1_i1|m.1460,-3.447,-11.3421,NA,unknown
lcl|c205554_g2_i2|m.1468,-0.566,-2.5365,NA,NA
lcl|c206182_g1_i1|m.1515,-1.819,-4.839,NA,NA
lcl|c206351_g3_i3|m.1527,-1.995,-5.5179,NA,NA
lcl|c206556_g1_i2|m.1565,-0.802,-2.1869,NA,NA
lcl|c207960_g1_i1|m.1712,-1.258,-9.7586,NA,NA
lcl|c207967_g2_i1|m.1713,-1.494,-4.8692,NA,NA
lcl|c208130_g1_i1|m.1735,0.676,4.3693,NA,NA
lcl|c208691_g4_i1|m.1828,0.68,2.5915,NA,NA
lcl|c209191_g2_i1|m.1916,-0.642,-2.3323,NA,NA
lcl|c209565_g1_i2|m.2000,0.882,3.866,NA,NA
lcl|c209757_g1_i1|m.2044,-0.507,-3.0873,NA,NA
lcl|c210031_g1_i2|m.2100,-1.407,-6.6847,NA,NA
lcl|c210226_g1_i1|m.2139,-0.721,-4.1525,NA,NA
lcl|c210253_g1_i2|m.2149,0.554,5.6632,NA,NA
lcl|c210423_g1_i5|m.2178,-2.055,-6.7241,NA,NA
lcl|c210670_g1_i7|m.2234,-1.801,-4.877,NA,NA
lcl|c210735_g5_i3|m.2260,-1.016,-4.7125,NA,NA
lcl|c210994_g1_i1|m.2320,-0.734,-6.6958,NA,NA
lcl|c211022_g1_i7|m.2328,-1.472,-4.6041,NA,NA
lcl|c211278_g7_i1|m.2402,-2.483,-7.3769,NA,NA
lcl|c211368_g3_i1|m.2426,-0.52,-2.1461,NA,NA
lcl|c211725_g14_i3|m.2532,-1.75,-4.7322,NA,NA
lcl|c211914_g5_i4|m.2567,-1.051,-2.7094,NA,NA
