PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10B_23_ID,X2021_01_20_CORALEGGS_10B_23_PW,X2021_01_20_CORALEGGS_10B_23_NUMPEPSTOT,X2021_01_20_CORALEGGS_10B_23_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_10B_23_NUMSPECSTOT,X2021_01_20_CORALEGGS_10B_23_TOTNSAF,X2021_01_20_CORALEGGS_10B_23_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10B_23_UNIQNSAF,X2021_01_20_CORALEGGS_10B_23_NUMSPECSADJ,X2021_01_20_CORALEGGS_10B_23_ADJNSAF,X2021_01_20_CORALEGGS_10NB_13_ID,X2021_01_20_CORALEGGS_10NB_13_PW,X2021_01_20_CORALEGGS_10NB_13_NUMPEPSTOT,X2021_01_20_CORALEGGS_10NB_13_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSTOT,X2021_01_20_CORALEGGS_10NB_13_TOTNSAF,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_10NB_13_UNIQNSAF,X2021_01_20_CORALEGGS_10NB_13_NUMSPECSADJ,X2021_01_20_CORALEGGS_10NB_13_ADJNSAF,X2021_01_20_CORALEGGS_13B_07_ID,X2021_01_20_CORALEGGS_13B_07_PW,X2021_01_20_CORALEGGS_13B_07_NUMPEPSTOT,X2021_01_20_CORALEGGS_13B_07_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_13B_07_NUMSPECSTOT,X2021_01_20_CORALEGGS_13B_07_TOTNSAF,X2021_01_20_CORALEGGS_13B_07_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_13B_07_UNIQNSAF,X2021_01_20_CORALEGGS_13B_07_NUMSPECSADJ,X2021_01_20_CORALEGGS_13B_07_ADJNSAF,X2021_01_20_CORALEGGS_13NB_22_ID,X2021_01_20_CORALEGGS_13NB_22_PW,X2021_01_20_CORALEGGS_13NB_22_NUMPEPSTOT,X2021_01_20_CORALEGGS_13NB_22_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSTOT,X2021_01_20_CORALEGGS_13NB_22_TOTNSAF,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_13NB_22_UNIQNSAF,X2021_01_20_CORALEGGS_13NB_22_NUMSPECSADJ,X2021_01_20_CORALEGGS_13NB_22_ADJNSAF,X2021_01_20_CORALEGGS_21B_17_ID,X2021_01_20_CORALEGGS_21B_17_PW,X2021_01_20_CORALEGGS_21B_17_NUMPEPSTOT,X2021_01_20_CORALEGGS_21B_17_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_21B_17_NUMSPECSTOT,X2021_01_20_CORALEGGS_21B_17_TOTNSAF,X2021_01_20_CORALEGGS_21B_17_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_21B_17_UNIQNSAF,X2021_01_20_CORALEGGS_21B_17_NUMSPECSADJ,X2021_01_20_CORALEGGS_21B_17_ADJNSAF,X2021_01_20_CORALEGGS_21NB_09_ID,X2021_01_20_CORALEGGS_21NB_09_PW,X2021_01_20_CORALEGGS_21NB_09_NUMPEPSTOT,X2021_01_20_CORALEGGS_21NB_09_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSTOT,X2021_01_20_CORALEGGS_21NB_09_TOTNSAF,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_21NB_09_UNIQNSAF,X2021_01_20_CORALEGGS_21NB_09_NUMSPECSADJ,X2021_01_20_CORALEGGS_21NB_09_ADJNSAF,X2021_01_20_CORALEGGS_26B_21_ID,X2021_01_20_CORALEGGS_26B_21_PW,X2021_01_20_CORALEGGS_26B_21_NUMPEPSTOT,X2021_01_20_CORALEGGS_26B_21_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_26B_21_NUMSPECSTOT,X2021_01_20_CORALEGGS_26B_21_TOTNSAF,X2021_01_20_CORALEGGS_26B_21_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_26B_21_UNIQNSAF,X2021_01_20_CORALEGGS_26B_21_NUMSPECSADJ,X2021_01_20_CORALEGGS_26B_21_ADJNSAF,X2021_01_20_CORALEGGS_26NB_15_ID,X2021_01_20_CORALEGGS_26NB_15_PW,X2021_01_20_CORALEGGS_26NB_15_NUMPEPSTOT,X2021_01_20_CORALEGGS_26NB_15_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSTOT,X2021_01_20_CORALEGGS_26NB_15_TOTNSAF,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_26NB_15_UNIQNSAF,X2021_01_20_CORALEGGS_26NB_15_NUMSPECSADJ,X2021_01_20_CORALEGGS_26NB_15_ADJNSAF,X2021_01_20_CORALEGGS_66B_14_ID,X2021_01_20_CORALEGGS_66B_14_PW,X2021_01_20_CORALEGGS_66B_14_NUMPEPSTOT,X2021_01_20_CORALEGGS_66B_14_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_66B_14_NUMSPECSTOT,X2021_01_20_CORALEGGS_66B_14_TOTNSAF,X2021_01_20_CORALEGGS_66B_14_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_66B_14_UNIQNSAF,X2021_01_20_CORALEGGS_66B_14_NUMSPECSADJ,X2021_01_20_CORALEGGS_66B_14_ADJNSAF,X2021_01_20_CORALEGGS_66NB_16_ID,X2021_01_20_CORALEGGS_66NB_16_PW,X2021_01_20_CORALEGGS_66NB_16_NUMPEPSTOT,X2021_01_20_CORALEGGS_66NB_16_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSTOT,X2021_01_20_CORALEGGS_66NB_16_TOTNSAF,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_66NB_16_UNIQNSAF,X2021_01_20_CORALEGGS_66NB_16_NUMSPECSADJ,X2021_01_20_CORALEGGS_66NB_16_ADJNSAF,X2021_01_20_CORALEGGS_74B_08_ID,X2021_01_20_CORALEGGS_74B_08_PW,X2021_01_20_CORALEGGS_74B_08_NUMPEPSTOT,X2021_01_20_CORALEGGS_74B_08_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_74B_08_NUMSPECSTOT,X2021_01_20_CORALEGGS_74B_08_TOTNSAF,X2021_01_20_CORALEGGS_74B_08_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_74B_08_UNIQNSAF,X2021_01_20_CORALEGGS_74B_08_NUMSPECSADJ,X2021_01_20_CORALEGGS_74B_08_ADJNSAF,X2021_01_20_CORALEGGS_74NB_20_ID,X2021_01_20_CORALEGGS_74NB_20_PW,X2021_01_20_CORALEGGS_74NB_20_NUMPEPSTOT,X2021_01_20_CORALEGGS_74NB_20_NUMPEPSUNIQ,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSTOT,X2021_01_20_CORALEGGS_74NB_20_TOTNSAF,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSUNIQ,X2021_01_20_CORALEGGS_74NB_20_UNIQNSAF,X2021_01_20_CORALEGGS_74NB_20_NUMSPECSADJ,X2021_01_20_CORALEGGS_74NB_20_ADJNSAF
RZO77719.1,458,1,F0F1 ATP synthase subunit beta [OM182 bacterium],12,1-a,1,1,1,0.999,1,0.999,2,2,32,32,861-a,0.9739,1,1,1,14.4435,1,16.401,1,15.7362,2-a,1,2,2,3,43.1739,3,49.2872,3,47.4503,1-a,1,2,2,4,59.0012,4,68.7828,4,65.705,1-a,1,2,2,3,42.0992,3,48.4289,3,46.3691,1-a,1,2,2,4,54.7419,4,62.3495,4,60.1248,1-a,1,2,2,4,53.0558,4,60.6553,4,58.0638,583-a,0.9998,1,1,1,16.7573,1,18.9223,1,18.2449,720-a,0.9952,1,1,2,28.8884,2,33.0624,2,31.7746,864-a,0.995,1,1,2,31.1869,2,35.1872,2,34.109,1-a,1,2,2,3,37.1874,3,42.4506,3,40.6467,728-a,0.9998,2,2,3,39.3621,3,44.4441,3,42.8727,1-a,1,2,2,2,24.1659,2,27.32,2,26.2192
WP_089370772.1,233,1,CoA transferase subunit A [Dokdonia pacifica],12,10-a,1,1,1,0.999,1,0.999,2,2,17,17,681-a,0.9995,2,2,2,56.7822,2,64.4776,2,61.8643,3-a,1,2,2,2,56.577,2,64.5882,2,62.1809,1157-a,0.837,1,1,1,28.9942,1,33.801,1,32.2885,1489-a,0.5757,1,1,1,27.5843,1,31.7317,1,30.382,1132-a,0.8728,1,1,1,26.9011,1,30.6396,1,29.5463,1071-a,0.9277,1,1,1,26.0725,1,29.807,1,28.5335,670-a,0.9965,2,2,2,65.8787,2,74.3897,2,71.7266,1261-a,0.6928,1,1,1,28.3924,1,32.4948,1,31.2291,1013-a,0.8924,1,1,1,30.6515,1,34.5831,1,33.5234,2-a,1,2,2,2,48.7319,2,55.6291,2,53.2653,1221-a,0.7983,1,1,1,25.7909,1,29.1207,1,28.0911,2-a,1,2,2,2,47.502,2,53.7019,2,51.5381
lcl|c232660_g2_i7|m.17650,464,1,lcl c232660_g2_i7 g.17650  ORF lcl c232660_g2_i7 g.17650 lcl c232660_g2_i7 m.17650 type:5prime_partial len:464 (+) lcl c232660_g2_i7:1-1392(+),12,1000-a,1,1,1,0.999,1,0.999,3,3,19,19,797-a,0.9949,1,1,1,14.2567,1,16.1889,1,15.5327,811-a,0.9951,1,1,1,14.2052,1,16.2166,1,15.6122,504-a,1,2,2,2,29.1191,2,33.9467,2,32.4277,250-a,1,2,2,3,41.5549,3,47.8027,3,45.7695,824-a,0.9954,1,1,1,13.5085,1,15.3858,1,14.8368,1153-a,0.8857,1,1,1,13.0924,1,14.9677,1,14.3283,447-a,1,2,2,2,33.0813,2,37.3552,2,36.0179,787-a,0.9952,1,1,1,14.2574,1,16.3174,1,15.6818,527-a,1,2,2,2,30.7836,2,34.7322,2,33.6679,610-a,1,2,2,2,24.471,2,27.9344,2,26.7474,950-a,0.9661,1,1,1,12.9511,1,14.6231,1,14.1061,302-a,1,2,2,2,23.8534,2,26.9667,2,25.8801
lcl|c232843_g1_i4|m.17830,270,1,lcl c232843_g1_i4 g.17830  ORF lcl c232843_g1_i4 g.17830 lcl c232843_g1_i4 m.17830 type:complete len:270 (+) lcl c232843_g1_i4:569-1378(+),12,1001-a,1,1,1,0.999,1,0.999,21,21,157,157,515-a,1,9,6,11,269.505,8,222.567,11,293.6264,534-a,1,14,9,14,341.7669,9,250.8173,14,375.6187,505-a,1,11,8,13,325.2715,10,291.6899,13,362.229,537-a,1,12,8,13,309.4555,9,246.4494,13,340.8413,541-a,1,12,8,14,325.0049,10,264.4081,14,356.9633,551-a,1,10,8,10,224.9958,8,205.7788,10,246.2337,448-a,1,11,10,13,369.5305,12,385.1732,13,402.333,503-a,1,12,8,15,367.5241,11,308.4601,15,404.2432,528-a,1,10,8,11,290.9622,9,268.5953,11,318.2243,611-a,1,14,10,17,357.4578,13,312.038,17,390.7105,588-a,1,11,8,12,267.0795,9,226.1711,12,290.8991,632-a,1,13,9,14,286.9475,10,231.7138,14,311.3283
lcl|c232847_g2_i2|m.17831,205,1,lcl c232847_g2_i2 g.17831  ORF lcl c232847_g2_i2 g.17831 lcl c232847_g2_i2 m.17831 type:3prime_partial len:206 (+) lcl c232847_g2_i2:963-1577(+),12,1001-b,1,1,1,0.999,1,0.999,6,6,48,48,256-a,1,4,3,5,161.3444,4,146.5685,4,140.6282,534-b,1,6,3,6,192.9137,3,110.1149,3,106.0109,647-a,0.9998,4,2,4,131.8173,2,76.8354,2,73.3973,537-c,0.9994,3,1,3,94.0559,1,36.0658,1,34.5318,541-b,0.9994,3,1,3,91.7261,1,34.8245,1,33.5819,551-b,1,4,2,4,118.5343,2,67.7564,2,64.8616,218-a,1,3,2,3,112.3151,2,84.5502,2,81.5234,232-a,1,4,2,4,129.0816,2,73.8663,2,70.9891,265-a,1,3,3,3,104.5141,3,117.9199,3,114.3067,611-c,1,5,3,5,138.47,3,94.8408,3,90.8108,588-c,0.9845,3,1,3,87.9408,1,33.0982,1,31.928,308-a,1,4,2,5,134.9753,3,91.5552,3,87.8662
lcl|c226607_g5_i2|m.11621,132,1,lcl c226607_g5_i2 g.11621  ORF lcl c226607_g5_i2 g.11621 lcl c226607_g5_i2 m.11621 type:3prime_partial len:133 (+) lcl c226607_g5_i2:67-462(+),12,1001-c,1,1,1,0.999,1,0.999,7,7,48,48,515-b,1,4,2,4,200.4582,2,113.8127,2,109.1999,534-c,1,5,2,5,249.6674,2,114.0079,2,109.7587,505-b,1,4,3,4,204.7163,3,178.9915,3,170.9822,537-b,1,4,1,4,194.7622,1,56.0112,1,53.6289,541-c,0.9993,4,1,4,189.9379,1,54.0835,1,52.1537,551-c,1,3,2,3,138.0656,2,105.2278,2,100.732,448-b,0,2,0,2,116.2858,0,0,0,0,503-b,1,5,3,5,250.5846,3,172.0748,3,165.3722,528-b,0.9995,3,1,3,162.3136,1,61.0444,1,59.1739,611-b,1,6,3,6,258.0578,3,147.2907,3,141.0319,588-b,1,4,2,4,182.0996,2,102.805,2,99.1702,632-b,1,4,2,4,167.6966,2,94.792,2,90.9726
lcl|c232854_g3_i11|m.17840,291,1,lcl c232854_g3_i11 g.17840  ORF lcl c232854_g3_i11 g.17840 lcl c232854_g3_i11 m.17840 type:5prime_partial len:291 (+) lcl c232854_g3_i11:1-873(+),12,1002-a,1,1,1,0.9911,1,0.9911,7,7,36,36,257-a,1,3,3,3,68.1971,3,77.4395,3,74.301,269-a,1,3,3,3,67.9507,3,77.5724,3,74.6812,506-a,1,3,3,3,69.6458,3,81.192,3,77.5589,706-a,0.9997,2,2,2,44.1729,2,50.8143,2,48.653,936-a,0.9599,1,1,1,21.5394,1,24.5327,1,23.6574,552-a,1,3,3,3,62.6277,3,71.5983,3,68.5393,219-a,1,3,3,3,79.1223,3,89.3443,3,86.1458,504-a,1,4,4,4,90.9338,4,104.0728,4,100.0189,529-a,1,5,5,5,122.7113,5,138.4512,5,134.2089,725-a,0.9999,2,2,2,39.019,2,44.5415,2,42.6488,589-a,1,4,4,4,82.6019,4,93.2664,4,89.9688,309-a,1,3,3,3,57.0514,3,64.4977,3,61.8988
lcl|c232855_g5_i1|m.17841,189,1,lcl c232855_g5_i1 g.17841  ORF lcl c232855_g5_i1 g.17841 lcl c232855_g5_i1 m.17841 type:complete len:189 (+) lcl c232855_g5_i1:159-725(+),12,1003-a,1,1,1,0.9928,1,0.9928,2,2,17,17,846-a,0.9926,2,2,2,70.0013,2,79.4882,2,76.2666,914-a,0.9497,1,1,1,34.8742,1,39.8123,1,38.3284,1040-a,0.9143,1,1,1,35.7441,1,41.67,1,39.8054,1043-a,0.9222,1,1,1,34.0061,1,39.119,1,37.4551,981-a,0.9448,1,1,1,33.1638,1,37.7726,1,36.4248,1146-a,0.8912,1,1,1,32.1423,1,36.7462,1,35.1762,600-a,0.9998,2,2,2,81.2155,2,91.7079,2,88.4248,618-a,0.9999,2,2,2,70.0046,2,80.1195,2,76.9987,683-a,0.9998,2,2,2,75.5746,2,85.2684,2,82.6557,982-a,0.964,1,1,1,30.0385,1,34.2899,1,32.8328,590-a,1,2,2,2,63.5904,2,71.8003,2,69.2617,1123-a,0.9013,1,1,1,29.2804,1,33.102,1,31.7682
lcl|c232899_g1_i2|m.17887,378,1,lcl c232899_g1_i2 g.17887  ORF lcl c232899_g1_i2 g.17887 lcl c232899_g1_i2 m.17887 type:complete len:378 (+) lcl c232899_g1_i2:142-1275(+),12,1004-a,1,1,1,0.999,1,0.999,10,9,49,37,258-a,1,4,3,5,87.5016,4,79.4882,4,76.2666,535-a,1,6,5,6,104.6225,5,99.5307,6,114.9853,244-a,1,3,2,3,53.6162,2,41.67,2,39.8054,538-a,1,4,3,4,68.0122,3,58.6784,3,56.1826,271-a,1,4,3,4,66.3275,3,56.6589,4,72.8497,612-b,1,3,2,3,48.2134,2,36.7462,2,35.1762,449-a,1,5,4,5,101.5194,4,91.7079,5,110.531,234-a,1,3,2,3,52.5034,2,40.0598,2,38.4994,643-a,0.9999,3,2,3,56.681,2,42.6342,2,41.3278,300-a,1,6,5,6,90.1154,5,85.7247,5,82.082,290-a,1,3,2,3,47.6928,2,35.9002,2,34.6309,311-a,1,4,3,4,58.5607,3,49.653,3,47.6523
lcl|c232931_g1_i10|m.17922,718,1,lcl c232931_g1_i10 g.17922  ORF lcl c232931_g1_i10 g.17922 lcl c232931_g1_i10 m.17922 type:complete len:718 (+) lcl c232931_g1_i10:90-2243(+),12,1005-a,1,1,1,0.999,1,0.999,5,5,25,25,516-a,1,3,3,3,27.6398,3,31.3857,3,30.1136,536-a,1,2,2,2,18.3599,2,20.9597,2,20.1785,693-a,0.9992,2,2,2,18.8179,2,21.9377,2,20.956,677-a,0.9999,2,2,2,17.9029,2,20.5947,2,19.7187,746-a,0.9982,2,2,2,17.4595,2,19.8858,2,19.1763,553-a,1,2,2,2,16.9217,2,19.3455,2,18.519,1417-a,0.568,1,1,1,10.6892,1,12.0702,1,11.6381,672-a,0.9995,2,2,2,18.4274,2,21.09,2,20.2685,530-a,1,3,3,3,29.8404,3,33.6679,3,32.6363,768-a,0.9998,2,2,2,15.8141,2,18.0523,2,17.2852,767-a,0.9995,2,2,2,16.739,2,18.9001,2,18.2318,765-a,0.9999,2,2,2,15.415,2,17.4269,2,16.7248
